item_code,region,segment,format,sales_total,sales_mean,units_total,units_mean,price_mean,var_pct_mean,high_value_ratio,high_turnover_ratio,n_weeks,cluster,cluster_nombre
7501058712813,Area 1,Powder,Polvo,3.887,0.11105714285714285,0.067,0.0019142857142857145,57.92285714285714,-99.84285714285714,1.0,0.0,35,0,Presencia Marginal
7501058712813,Area 2,Powder,Polvo,3.152,0.0985,0.055,0.00171875,57.203125,-99.853125,1.0,0.03125,32,0,Presencia Marginal
7501058712813,Area 3,Powder,Polvo,3.47,0.11965517241379311,0.101,0.0034827586206896553,54.720000000000006,-99.86206896551724,0.896551724137931,0.06896551724137931,29,0,Presencia Marginal
7501058712813,Area 4,Powder,Polvo,0.059,0.059,0.001,0.001,59.0,-99.9,1.0,0.0,1,0,Presencia Marginal
7501058712813,Area 5,Powder,Polvo,2.322,0.13658823529411765,0.043,0.002529411764705882,53.374117647058824,-99.83529411764707,1.0,0.058823529411764705,17,0,Presencia Marginal
7501058712813,Area 6,Powder,Polvo,1.553,0.09135294117647058,0.026000000000000002,0.0015294117647058824,59.77470588235294,-99.88235294117646,1.0,0.0,17,0,Presencia Marginal
7501058713780,Area 1,Powder,Polvo,0.27,0.03375,0.011,0.001375,23.25,-99.8625,0.0,0.0,8,0,Presencia Marginal
7501058713780,Area 2,Powder,Polvo,0.579,0.030473684210526313,0.023,0.0012105263157894737,25.456315789473685,-99.87894736842105,0.0,0.0,19,0,Presencia Marginal
7501058713780,Area 3,Powder,Polvo,0.07200000000000001,0.024000000000000004,0.003,0.001,24.0,-99.90000000000002,0.0,0.0,3,0,Presencia Marginal
7501058713780,Area 4,Powder,Polvo,0.26,0.08666666666666667,0.013,0.004333333333333333,23.636666666666667,-99.90000000000002,0.0,0.3333333333333333,3,0,Presencia Marginal
7501058713780,Area 5,Powder,Polvo,0.388,0.043111111111111114,0.023,0.0025555555555555557,21.895555555555557,-99.9,0.0,0.3333333333333333,9,0,Presencia Marginal
7501058713780,Area 6,Powder,Polvo,0.222,0.02775,0.008,0.001,27.75,-99.9,0.0,0.0,8,0,Presencia Marginal
7501058714596,Area 1,Bar,Barra,5123.734,64.04667500000001,403.701,5.0462625,12.675875000000001,-65.76375,0.0,1.0,80,4,Alta Rotación
7501058714596,Area 2,Bar,Barra,13431.382,167.89227499999998,1077.725,13.4715625,12.43925,-38.65375,0.0,1.0,80,4,Alta Rotación
7501058714596,Area 3,Bar,Barra,6324.743,79.05928750000001,522.753,6.5344125,12.13975,-66.84625,0.0,1.0,80,4,Alta Rotación
7501058714596,Area 4,Bar,Barra,6011.323,75.1415375,497.561,6.2195124999999996,12.145,-66.7175,0.0,1.0,80,4,Alta Rotación
7501058714596,Area 5,Bar,Barra,8054.443,100.6805375,652.767,8.1595875,12.398375,-66.79125,0.0,1.0,80,4,Alta Rotación
7501058714596,Area 6,Bar,Barra,10796.353000000001,134.95441250000002,875.484,10.94355,12.356625,-59.0475,0.0,1.0,80,4,Alta Rotación
7501058715012,Area 1,Powder,Polvo,0.40800000000000003,0.0408,0.016,0.0016,26.25,-99.899,0.0,0.0,10,0,Presencia Marginal
7501058715012,Area 2,Powder,Polvo,0.357,0.03966666666666666,0.013000000000000001,0.0014444444444444446,27.333333333333332,-99.86666666666667,0.0,0.0,9,0,Presencia Marginal
7501058715012,Area 3,Powder,Polvo,0.227,0.03783333333333334,0.009000000000000001,0.0015000000000000002,25.445000000000004,-99.90000000000002,0.0,0.0,6,0,Presencia Marginal
7501058715012,Area 4,Powder,Polvo,0.091,0.030333333333333334,0.004,0.0013333333333333333,22.666666666666668,-99.86666666666667,0.0,0.0,3,0,Presencia Marginal
7501058715012,Area 5,Powder,Polvo,0.412,0.03169230769230769,0.015,0.0011538461538461537,27.76923076923077,-99.9,0.0,0.0,13,0,Presencia Marginal
7501058715012,Area 6,Powder,Polvo,0.06,0.03,0.002,0.001,30.0,-99.9,0.0,0.0,2,0,Presencia Marginal
7501058715029,Area 1,Liquid & Gel,Liquido,0.44699999999999995,0.0894,0.024,0.0048000000000000004,18.740000000000002,-99.9,0.0,0.4,5,0,Presencia Marginal
7501058715029,Area 2,Liquid & Gel,Liquido,0.445,0.11125,0.022,0.0055,21.25,-99.9,0.0,0.75,4,0,Presencia Marginal
7501058715036,Area 1,Liquid & Gel,Liquido,0.299,0.07475,0.016,0.004,19.025,-99.9,0.0,0.5,4,0,Presencia Marginal
7501058715036,Area 2,Liquid & Gel,Liquido,0.02,0.02,0.001,0.001,20.0,-99.9,0.0,0.0,1,0,Presencia Marginal
7501058715036,Area 3,Liquid & Gel,Liquido,0.026,0.026,0.001,0.001,26.0,-99.9,0.0,0.0,1,0,Presencia Marginal
7501058715036,Area 5,Liquid & Gel,Liquido,0.078,0.026,0.003,0.001,26.0,-99.90000000000002,0.0,0.0,3,0,Presencia Marginal
7501058715036,Area 6,Liquid & Gel,Liquido,0.18,0.036,0.009000000000000001,0.0018000000000000002,20.0,-99.84,0.0,0.0,5,0,Presencia Marginal
7501058715098,Area 1,Powder,Polvo,2.921,0.127,0.05,0.002173913043478261,58.43347826086956,-99.84347826086957,1.0,0.0,23,0,Presencia Marginal
7501058715098,Area 2,Powder,Polvo,1.787,0.09927777777777777,0.031,0.0017222222222222222,57.35166666666666,-99.85,1.0,0.0,18,0,Presencia Marginal
7501058715098,Area 3,Powder,Polvo,2.08,0.09043478260869565,0.052000000000000005,0.0022608695652173915,43.797826086956526,-99.85217391304347,0.6086956521739131,0.043478260869565216,23,0,Presencia Marginal
7501058715098,Area 4,Powder,Polvo,0.116,0.058,0.002,0.001,58.0,-99.9,1.0,0.0,2,0,Presencia Marginal
7501058715098,Area 5,Powder,Polvo,2.578,0.11718181818181818,0.049,0.0022272727272727275,53.61000000000001,-99.85909090909091,1.0,0.09090909090909091,22,0,Presencia Marginal
7501058715098,Area 6,Powder,Polvo,0.481,0.06871428571428571,0.009000000000000001,0.0012857142857142859,54.92857142857143,-99.9,0.8571428571428571,0.0,7,0,Presencia Marginal
7501058715364,Area 6,Liquid & Gel,Liquido,21.124,0.26739240506329115,1.038,0.013139240506329114,20.561772151898737,-99.73291139240507,0.0,0.7974683544303798,79,1,Volumen Diversificado
7501058715531,Area 1,Liquid & Gel,Gel,266.289,6.340214285714286,20.373,0.4850714285714286,13.67690476190476,-91.36880952380952,0.0,1.0,42,1,Volumen Diversificado
7501058715531,Area 2,Liquid & Gel,Gel,475.772,11.327904761904762,34.903999999999996,0.8310476190476189,14.086190476190476,-83.60214285714285,0.0,1.0,42,1,Volumen Diversificado
7501058715531,Area 3,Liquid & Gel,Gel,553.132,13.169809523809523,41.687,0.992547619047619,13.949523809523809,-82.93261904761906,0.0,0.9761904761904762,42,1,Volumen Diversificado
7501058715531,Area 4,Liquid & Gel,Gel,534.25,12.720238095238095,40.75,0.9702380952380952,13.899999999999999,-82.93214285714286,0.0,0.9761904761904762,42,1,Volumen Diversificado
7501058715531,Area 5,Liquid & Gel,Gel,664.86,15.83,50.289,1.1973571428571428,13.925476190476191,-86.27142857142857,0.0,1.0,42,1,Volumen Diversificado
7501058715531,Area 6,Liquid & Gel,Gel,493.679,11.754261904761904,36.928,0.8792380952380952,13.94857142857143,-83.37690476190475,0.0,1.0,42,1,Volumen Diversificado
7501058715883,Area 1,Powder,Polvo,1756.501,21.9562625,7.403,0.0925375,238.37662500000002,-94.915875,1.0,0.0,80,2,Nicho Premium
7501058715883,Area 2,Powder,Polvo,3008.714,37.608925,12.58,0.15725,240.525,-90.480625,1.0,0.0,80,2,Nicho Premium
7501058715883,Area 3,Powder,Polvo,4404.632,55.0579,18.254,0.22817500000000002,242.04375,-90.094375,1.0,0.025,80,2,Nicho Premium
7501058715883,Area 4,Powder,Polvo,3220.278,40.253474999999995,13.563,0.1695375,239.531,-91.971375,1.0,0.025,80,2,Nicho Premium
7501058715883,Area 5,Powder,Polvo,11930.064,149.1258,50.297,0.6287125,238.962375,-82.636375,1.0,0.7,80,3,Motor de Ingresos
7501058715883,Area 6,Powder,Polvo,2490.897,31.1362125,10.328,0.1291,242.365,-93.265625,1.0,0.0,80,2,Nicho Premium
7501058715890,Area 1,Powder,Polvo,2224.235,27.802937500000002,9.527,0.11908749999999999,234.228,-94.0435,1.0,0.0,80,2,Nicho Premium
